,duration,speaker_id,gender
182,audio_913.351_918.7,SPEAKER_03,female
183,audio_976.514_983.72,SPEAKER_03,female
184,audio_1005.775_1019.494,SPEAKER_03,female
185,audio_1026.768_1040.268,SPEAKER_03,female
186,audio_1050.258_1051.996,SPEAKER_03,female
187,audio_1053.582_1098.284,SPEAKER_03,female
188,audio_1101.794_1114.8220000000001,SPEAKER_03,female
189,audio_1173.513_1180.4489999999998,SPEAKER_03,female
190,audio_1216.156_1264.6209999999999,SPEAKER_03,female
191,audio_1266.427_1270.308,SPEAKER_03,female
192,audio_1271.928_1273.7,SPEAKER_03,female
193,audio_1274.999_1283.15,SPEAKER_03,female
194,audio_1287.537_1291.655,SPEAKER_03,female
195,audio_1319.836_1323.717,SPEAKER_03,female
196,audio_1330.012_1331.716,SPEAKER_03,female
197,audio_1368.858_1374.494,SPEAKER_03,female
198,audio_1402.996_1408.582,SPEAKER_03,female
199,audio_1427.33_1441.859,SPEAKER_03,female
200,audio_1443.395_1445.083,SPEAKER_03,female
201,audio_1453.958_1458.3960000000002,SPEAKER_03,female
202,audio_1460.32_1471.7279999999998,SPEAKER_03,female
203,audio_1478.63_1486.46,SPEAKER_03,female
204,audio_1491.353_1510.7250000000001,SPEAKER_03,female
205,audio_1512.43_1523.669,SPEAKER_03,female
206,audio_1559.528_1562.498,SPEAKER_03,female
207,audio_1564.709_1566.717,SPEAKER_03,female
208,audio_1577.534_1587.3380000000002,SPEAKER_03,female
209,audio_1594.055_1617.2240000000002,SPEAKER_03,female
210,audio_1688.048_1707.083,SPEAKER_03,female
211,audio_1822.272_1835.519,SPEAKER_03,female
212,audio_1836.92_1862.941,SPEAKER_03,female
213,audio_1864.865_1878.078,SPEAKER_03,female
214,audio_1879.698_1889.401,SPEAKER_03,female
215,audio_1897.467_1903.238,SPEAKER_03,female
216,audio_1925.362_1939.655,SPEAKER_03,female
217,audio_1958.234_1959.618,SPEAKER_03,female
218,audio_1962.74_1971.312,SPEAKER_03,female
219,audio_1974.535_1982.1290000000001,SPEAKER_03,female
220,audio_1982.956_1988.6429999999998,SPEAKER_03,female
221,audio_1991.09_2002.6329999999998,SPEAKER_03,female
222,audio_2061.965_2067.956,SPEAKER_03,female
223,audio_2094.787_2097.9429999999998,SPEAKER_03,female
224,audio_2112.185_2118.699,SPEAKER_03,female
225,audio_2128.57_2134.78,SPEAKER_03,female
226,audio_2139.134_2148.989,SPEAKER_03,female
227,audio_2149.58_2151.689,SPEAKER_03,female
228,audio_2164.852_2167.89,SPEAKER_03,female
229,audio_2174.808_2203.276,SPEAKER_03,female
230,audio_2209.3_2215.51,SPEAKER_03,female
231,audio_2445.314_2447.069,SPEAKER_03,female
232,audio_2505.406_2506.942,SPEAKER_03,female
233,audio_2547.34_2558.9500000000003,SPEAKER_03,female
234,audio_2560.688_2563.472,SPEAKER_03,female
235,audio_2603.855_2632.576,SPEAKER_03,female
236,audio_2674.257_2685.496,SPEAKER_03,female
237,audio_2687.909_2691.436,SPEAKER_03,female
238,audio_2697.005_2698.591,SPEAKER_03,female
239,audio_2711.146_2714.858,SPEAKER_03,female
240,audio_2739.698_2741.3179999999998,SPEAKER_03,female
241,audio_2751.376_2760.0840000000003,SPEAKER_03,female
242,audio_2769.314_2772.756,SPEAKER_03,female
243,audio_2778.916_2797.884,SPEAKER_03,female
244,audio_2920.582_2954.754,SPEAKER_03,female
245,audio_164.692_166.19400000000002,SPEAKER_01,male
246,audio_228.428_230.47,SPEAKER_01,male
247,audio_336.715_348.72999999999996,SPEAKER_01,male
248,audio_355.987_360.49300000000005,SPEAKER_01,male
249,audio_378.616_388.471,SPEAKER_01,male
250,audio_394.698_401.043,SPEAKER_01,male
251,audio_479.14_490.44599999999997,SPEAKER_01,male
252,audio_502.107_506.84900000000005,SPEAKER_01,male
253,audio_508.402_510.731,SPEAKER_01,male
254,audio_512.452_530.424,SPEAKER_01,male
255,audio_547.45_552.192,SPEAKER_01,male
256,audio_640.128_649.038,SPEAKER_01,male
257,audio_650.523_653.695,SPEAKER_01,male
258,audio_655.906_664.765,SPEAKER_01,male
259,audio_871.501_875.3149999999999,SPEAKER_01,male
260,audio_933.989_937.448,SPEAKER_01,male
261,audio_990.385_1003.733,SPEAKER_01,male
262,audio_1098.723_1102.8909999999998,SPEAKER_01,male
263,audio_1113.91_1125.756,SPEAKER_01,male
264,audio_1180.448_1196.057,SPEAKER_01,male
265,audio_1323.278_1336.9470000000001,SPEAKER_01,male
266,audio_1337.825_1349.486,SPEAKER_01,male
267,audio_1350.937_1365.5339999999999,SPEAKER_01,male
268,audio_1366.428_1369.702,SPEAKER_01,male
269,audio_1370.562_1371.895,SPEAKER_01,male
270,audio_1373.127_1379.86,SPEAKER_01,male
271,audio_1380.957_1384.804,SPEAKER_01,male
272,audio_1386.982_1391.8419999999999,SPEAKER_01,male
273,audio_1411.602_1418.335,SPEAKER_01,male
274,audio_1419.5_1426.756,SPEAKER_01,male
275,audio_1439.142_1456.085,SPEAKER_01,male
276,audio_1524.243_1529.272,SPEAKER_01,male
277,audio_1539.903_1547.463,SPEAKER_01,male
278,audio_1554.179_1565.452,SPEAKER_01,male
279,audio_1730.472_1740.816,SPEAKER_01,male
280,audio_1742.015_1751.718,SPEAKER_01,male
281,audio_1755.042_1765.167,SPEAKER_01,male
282,audio_1766.551_1769.858,SPEAKER_01,male
283,audio_1772.474_1773.6219999999998,SPEAKER_01,male
284,audio_1945.78_1954.8419999999999,SPEAKER_01,male
285,audio_1955.787_1962.47,SPEAKER_01,male
286,audio_2016.368_2020.081,SPEAKER_01,male
287,audio_2022.005_2029.633,SPEAKER_01,male
288,audio_2036.669_2049.46,SPEAKER_01,male
289,audio_2088.323_2098.448,SPEAKER_01,male
290,audio_2328.269_2338.495,SPEAKER_01,male
291,audio_2339.761_2361.547,SPEAKER_01,male
292,audio_2363.487_2367.571,SPEAKER_01,male
293,audio_2369.005_2406.94,SPEAKER_01,male
294,audio_2411.007_2483.35,SPEAKER_01,male
295,audio_2487.62_2524.947,SPEAKER_01,male
296,audio_2528.828_2536.354,SPEAKER_01,male
297,audio_2566.73_2582.457,SPEAKER_01,male
